Id,price,name,neighborhood_overview,host_id,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms_text,bedrooms,beds,amenities,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable
KNXTO,143.0,Guesthouse in Oakland · ★4.93 · 1 bedroom · 1 bed · 1 bath,"You will be in the Crocker Highlands neighborhood of Oakland, about a 10 minute walk from the shops on Lakeshore Avenue--far enough from the buzz to have peace and quiet when you need it, but within walking distance of the action when you want to be out and about. <br /><br />Grab some donuts at Colonial Donuts (an Oakland institution), then head over to Pete’s for some freshly brewed coffee. If caffeine isn't your thing, a quick walk to Main Squeeze will get you a green juice and an acai bowl. For dinner (and some of the best cocktails in town), check out Shakewell or Bardo. Afterward, catch a movie at the legendary Grand Lake Theater.  Prefer to cook? Grab some groceries at the local Trader Joe’s. If it’s Saturday, head to the always bustling farmer’s market at Lake Merritt.",4211733,2012-11-21,"Oakland, CA",,within a few hours,100%,89%,f,1.0,"['email', 'phone']",t,t,Lakeshore,37.81509053692727,-122.23753054310556,Entire guesthouse,Entire home/apt,4,1 bath,,1.0,[],3,365,3,3,365,365,3.0,365.0,t,16,41,71,346,14,14,2,2023-04-28,2023-11-26,4.93,5.0,4.86,4.86,5.0,4.93,4.86,f
ZMPFX,103.0,Rental unit in San Francisco · 1 bedroom · 1 bed · 1 bath,,1257432,2011-10-06,"San Francisco, CA","Our Company is San Francisco Life Real Estate, Inc. Please contact us at sanfranciscolife . co for all of our listings. 

Our goal is to provide the best experience when staying in our homes. All of the individual apartments include linens, towels, irons and ironing boards, hairdryers and a starter pack of body wash, shampoo, coffee, tea. We include detailed instructions including videos of how to get into the apartment.",within an hour,98%,81%,t,32.0,"['email', 'phone', 'work_email']",t,t,Western Addition,37.770767378805125,-122.42748343483974,Entire rental unit,Entire home/apt,2,1 bath,,1.0,"[""Hair dryer"", ""TV"", ""Dishwasher"", ""Elevator"", ""Smoke alarm"", ""Outdoor dining area"", ""Oven"", ""Luggage dropoff allowed"", ""Free street parking"", ""Pets allowed"", ""Fire extinguisher"", ""Coffee maker"", ""Dryer"", ""Washer"", ""Carbon monoxide alarm"", ""Cooking basics"", ""Iron"", ""Hangers"", ""Wifi"", ""Heating"", ""Kitchen"", ""Hot water"", ""Dedicated workspace"", ""Cleaning products"", ""Refrigerator"", ""Bathtub"", ""Essentials"", ""Stove"", ""Self check-in"", ""Smart lock"", ""Shampoo"", ""Dishes and silverware"", ""Long term stays allowed"", ""Bed linens"", ""Microwave""]",30,365,30,30,365,365,30.0,365.0,t,17,40,43,317,2,2,0,2023-09-05,2023-10-31,5.0,4.5,4.5,5.0,5.0,5.0,4.5,f
GZZJO,55.0,Home in San Francisco · ★5.0 · 1 bedroom · 1 bed · 1.5 shared baths,,9219277,2013-10-04,"San Francisco, CA","Hi there! My name's Henry and my wife and I have enjoyed living in San Francisco for many years. We love hiking, eating good food, and traveling. ",within an hour,100%,85%,t,10.0,"['email', 'phone']",t,t,Outer Sunset,37.75927,-122.48258,Private room in home,Private room,2,1.5 shared baths,,1.0,"[""Dining table"", ""Hot water kettle"", ""Paid washer \u2013 In building"", ""Hair dryer"", ""Smoke alarm"", ""Toaster"", ""Luggage dropoff allowed"", ""Free street parking"", ""Fire extinguisher"", ""Coffee maker"", ""Clothing storage: closet"", ""Carbon monoxide alarm"", ""Cooking basics"", ""Hangers"", ""Wifi"", ""Keypad"", ""Heating"", ""Cleaning available during stay"", ""Kitchen"", ""Hot water"", ""Dedicated workspace"", ""Refrigerator"", ""Essentials"", ""Stove"", ""Self check-in"", ""Shampoo"", ""Long term stays allowed"", ""Paid dryer \u2013 In unit"", ""Bed linens"", ""Microwave""]",30,92,30,30,92,92,30.0,92.0,t,5,35,65,154,4,0,0,2021-12-17,2022-11-10,5.0,4.75,4.75,5.0,5.0,5.0,3.75,f
6FFE0,80.0,Home in Palo Alto · ★5.0 · 1 bedroom · 1 bed · 1.5 shared baths,This is a very safe neighborhood with low crime and 96/100 bike score.,13149124,2014-03-15,"Palo Alto, CA",Hi! I work in tech but enjoy running Airbnb on the side with my mom in our home. ,within a day,90%,56%,t,3.0,"['email', 'phone']",t,t,Palo Alto,37.41096,-122.12144,Private room in home,Private room,1,1.5 shared baths,,1.0,[],1,1125,1,1,1125,1125,1.0,1125.0,t,1,1,1,114,7,1,0,2021-08-28,2023-05-27,5.0,5.0,5.0,5.0,5.0,4.86,5.0,f
YIIMB,259.0,Hotel in Sunnyvale · ★4.75 · 1 bedroom · 2 beds · 1 bath,De Anza College – 4.3 miles; <br />Computer History Museum – 4.5 miles; <br />Intel Museum – 7.4 miles; <br />Triton Museum of Art – 7.7 miles; <br />J. Lohr Winery – 10.8 miles; <br />Mineta San Jose International Airport – 10.9 miles; <br />San Jose Diridon Amtrak Station – 11.5 miles; <br />Mountain Winery – 12.6 miles; <br />Happy Hollow Park and Zoo – 14.1 miles; <br />Stanford University – 15.8 miles; <br />Santa Cruz Mountains – 32.0 miles;,501999278,2023-02-20,,,within an hour,100%,88%,f,1781.0,"['email', 'phone']",t,t,Sunnyvale,37.37019,-122.04374,Room in hotel,Private room,4,1 bath,,2.0,[],1,1125,1,1,1,1125,1.0,516.3,t,26,36,36,196,8,8,1,2023-06-11,2023-11-26,4.75,4.88,4.75,5.0,4.88,4.88,4.88,t
SX2D5,130.0,Rental unit in Mountain View · 1 bedroom · 2 beds · 1 bath,,4141660,2012-11-13,"California, United States","Business Enterpreneur and Consultant in Mobile, Internet, and AI/Smart Cars Technologies, Markets and Investments. I've lived in the U.S. since 1969 from New Hampshire, Boston, New York, Philadelphia to California and have travelled extensively in Europe, U.S. , Australia, China and Southeast Asia for both business and pleasure. Interest in meeting people from different cultural, educational or professional background. Fluent in English, Mandarin, Tagalog, some German and Spanish. Also developing four startups, in software, real estate, autonomous cars rental, and social networking in a post pandemic age.",within an hour,100%,57%,f,43.0,"['email', 'phone']",t,t,Mountain View,37.40363,-122.11302,Entire rental unit,Entire home/apt,2,1 bath,,2.0,[],1,7,1,1,7,7,1.0,7.0,t,30,60,90,90,2,1,0,2021-05-04,2023-05-05,5.0,5.0,4.0,5.0,5.0,5.0,4.5,f
PABVS,113.0,Home in San Francisco · 1 bedroom · 2 beds · 1 shared bath,"Bernal Heights park is about a 5 min walk from my house. It's the best view in all of SF. <br /><br />Cortland ave has tons of great shops, cafes, bars, restaurants, grocery stores, etc. It's a great place to do brunch on the weekends. <br /><br />There's also a large and historic farmers market that happens every weekend (5 min walk)",45040916,2015-09-24,"San Francisco, CA","laid back, friendly outgoing guy.  I'm a tech entrepreneur.  sports fanatic, snowboarder, amateur chef, wine collector/lover, love traveling. Super easy to get along with. ",within a few hours,100%,50%,f,5.0,"['email', 'phone', 'work_email']",t,t,Bernal Heights,37.74204,-122.40837,Private room in home,Private room,2,1 shared bath,,2.0,"[""TV"", ""Hair dryer"", ""Smoke alarm"", ""Fire pit"", ""Outdoor dining area"", ""Free parking on premises"", ""Free street parking"", ""Pets allowed"", ""Fire extinguisher"", ""Private entrance"", ""Wifi"", ""BBQ grill"", ""Building staff"", ""Hot water"", ""Dedicated workspace"", ""Lock on bedroom door"", ""Indoor fireplace: wood-burning"", ""Essentials"", ""Outdoor furniture"", ""Self check-in"", ""Shampoo""]",90,360,90,90,360,360,90.0,360.0,t,0,0,27,116,1,0,0,2017-11-10,2017-11-10,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f
SRVLN,39.0,Home in San Jose · ★5.0 · 1 bedroom · 1 bed · 1.5 shared baths,Restaurant and mall  movie theater are really closed by in area grocery stores!,343329510,2020-04-06,"San Jose, CA","Hi ,, I’m a hard worker mom I like to travel!!! I’m be traveling all my life !! I really appreciate life and I like to help others!!I keep planning to go see more places to visit more beautiful place with my son and family !! ",within a day,60%,70%,f,7.0,"['email', 'phone']",t,t,San Jose,37.3955,-121.90321,Private room in home,Private room,1,1.5 shared baths,,1.0,[],5,28,5,5,28,28,5.0,28.0,t,25,49,71,346,6,4,0,2020-10-11,2023-08-13,5.0,5.0,5.0,4.83,5.0,5.0,5.0,f
ZUP9I,520.0,Home in Burlingame · ★4.98 · 4 bedrooms · 5 beds · 3 baths,Burlingame is a beautiful suburb in the Peninsula of the Bay Area.  There are many shops and restaurants a short distance away from the home.  There are a lot of parks close by and only a short walking distance away.,33927492,2015-05-21,"Burlingame, CA","Hello!  My family and I love to travel and we are excited to host guests through Airbnb.  Our home is located Burlingame, California, a wonderful town just south of San Francisco.  We've enjoyed living in our home for over the past decade and we look forward to sharing it with our guests.  My parents, Tony and Edna, my two sisters, Elaine and Emi, and I will be your hosts.  We look forward to meeting our guests and hope to provide you with the best experience during your visit to the Bay Area!  ",within an hour,100%,100%,t,1.0,"['email', 'phone']",t,t,Burlingame,37.58717,-122.39185,Entire home,Entire home/apt,10,3 baths,,5.0,[],2,364,2,2,1125,1125,2.0,1125.0,t,24,54,77,77,137,16,1,2017-08-14,2023-11-26,4.98,4.95,4.93,4.97,4.99,4.96,4.85,f
MUMDI,366.0,Home in Santa Cruz · ★4.91 · 3 bedrooms · 3 beds · 3 baths,"Santa Cruz, California, is a coastal town with a unique blend of natural beauty and vibrant culture. Known for its stunning beaches along West Cliff Drive, it's a paradise for sunbathers, surfers, and outdoor enthusiasts. The Santa Cruz Beach Boardwalk offers classic seaside fun with thrilling rides and amusements. The town's lively downtown area is dotted with eclectic shops, art galleries, and diverse dining options. Santa Cruz is also a hub for live music and cultural events, with the Santa Cruz Wharf offering spectacular ocean views and fresh seafood. Whether you're seeking outdoor adventures or relaxation, Santa Cruz has it all, making it a dynamic and inviting coastal destination.<br /><br />This is not a good place for gatherings or parties so please keep that in mind when booking this home. We are very respectful of our neighbors and will not tolerate loud noise past curfew and additional guests at the property.",47316700,2015-10-24,"Santa Cruz, CA",O'Neal Vacation Rentals is a small team that is laser focused on hosting guests at amazing vacation rentals! We believe that memorable vacations are centered around beautiful homes that are comfortable and stocked with all the amenities that make for an amazing stay.,within an hour,100%,97%,t,81.0,['phone'],t,t,City of Capitola,36.96472923190401,-121.96183097759244,Entire home,Entire home/apt,6,3 baths,,3.0,[],1,29,1,4,29,29,2.0,29.0,t,15,41,71,340,35,35,2,2023-05-05,2023-12-15,4.91,4.83,4.94,4.91,4.97,4.91,4.8,f
