state_province,nfl_players,population,nfl_per_1m,nfl_per_100k
LA,81,4640546,17.45,1.75
GA,168,10722325,15.67,1.57
MS,36,2958846,12.17,1.22
FL,244,21634529,11.28,1.13
AL,56,5028092,11.14,1.11
MD,54,6161707,8.76,0.88
TX,254,29243342,8.69,0.87
SC,41,5142750,7.97,0.8
UT,23,3283809,7,0.7
HI,9,1450589,6.2,0.62
DE,6,993635,6.04,0.6
TN,41,6923772,5.92,0.59
NC,61,10470214,5.83,0.58
OH,68,11774683,5.78,0.58
NJ,52,9249063,5.62,0.56
OK,21,3970497,5.29,0.53
CT,19,3611317,5.26,0.53
MI,51,10057921,5.07,0.51
VA,40,8624511,4.64,0.46
IN,30,6784403,4.42,0.44
CA,167,39356104,4.24,0.42
NV,13,3104817,4.19,0.42
KY,17,4502935,3.78,0.38
IA,12,3188836,3.76,0.38
IL,47,12757634,3.68,0.37
PA,46,12989208,3.54,0.35
AZ,24,7172282,3.35,0.33
WV,6,1792967,3.35,0.33
MO,20,6154422,3.25,0.32
OR,13,4229374,3.07,0.31
WA,23,7688549,2.99,0.3
ID,5,1854109,2.7,0.27
CO,15,5770790,2.6,0.26
KS,7,2935922,2.38,0.24
MA,14,6984205,2,0.2
NM,4,2112463,1.89,0.19
WI,11,5882128,1.87,0.19
WY,1,577929,1.73,0.17
AR,5,3018669,1.66,0.17
MN,8,5695292,1.4,0.14
NE,2,1958939,1.02,0.1
MT,1,1091840,0.92,0.09
RI,1,1094250,0.91,0.09
NY,14,19994379,0.7,0.07
