state_province,position_group,nfl_players,population,nfl_per_1m,nfl_per_100k
AL,ATH,4,5028092,0.8,0.08
AL,DB,12,5028092,2.39,0.24
AL,DL,10,5028092,1.99,0.2
AL,LB,9,5028092,1.79,0.18
AL,OL,3,5028092,0.6,0.06
AL,OTHER,1,5028092,0.2,0.02
AL,QB,1,5028092,0.2,0.02
AL,RB,4,5028092,0.8,0.08
AL,ST,1,5028092,0.2,0.02
AL,WR,11,5028092,2.19,0.22
AR,DL,3,3018669,0.99,0.1
AR,WR,2,3018669,0.66,0.07
AZ,ATH,1,7172282,0.14,0.01
AZ,DB,7,7172282,0.98,0.1
AZ,DL,2,7172282,0.28,0.03
AZ,LB,1,7172282,0.14,0.01
AZ,QB,3,7172282,0.42,0.04
AZ,RB,2,7172282,0.28,0.03
AZ,ST,1,7172282,0.14,0.01
AZ,WR,7,7172282,0.98,0.1
CA,ATH,9,39356104,0.23,0.02
CA,DB,34,39356104,0.86,0.09
CA,DL,20,39356104,0.51,0.05
CA,LB,16,39356104,0.41,0.04
CA,OL,14,39356104,0.36,0.04
CA,OTHER,3,39356104,0.08,0.01
CA,QB,16,39356104,0.41,0.04
CA,RB,8,39356104,0.2,0.02
CA,ST,6,39356104,0.15,0.02
CA,TE,8,39356104,0.2,0.02
CA,WR,33,39356104,0.84,0.08
CO,ATH,3,5770790,0.52,0.05
CO,DB,2,5770790,0.35,0.03
CO,DL,2,5770790,0.35,0.03
CO,LB,1,5770790,0.17,0.02
CO,OL,1,5770790,0.17,0.02
CO,RB,2,5770790,0.35,0.03
CO,ST,1,5770790,0.17,0.02
CO,TE,2,5770790,0.35,0.03
CO,WR,1,5770790,0.17,0.02
CT,ATH,2,3611317,0.55,0.06
CT,DB,2,3611317,0.55,0.06
CT,DL,2,3611317,0.55,0.06
CT,LB,3,3611317,0.83,0.08
CT,OL,4,3611317,1.11,0.11
CT,QB,1,3611317,0.28,0.03
CT,ST,1,3611317,0.28,0.03
CT,TE,1,3611317,0.28,0.03
CT,WR,3,3611317,0.83,0.08
DE,ATH,2,993635,2.01,0.2
DE,LB,1,993635,1.01,0.1
DE,OL,1,993635,1.01,0.1
DE,TE,1,993635,1.01,0.1
DE,WR,1,993635,1.01,0.1
FL,ATH,9,21634529,0.42,0.04
FL,DB,68,21634529,3.14,0.31
FL,DL,33,21634529,1.53,0.15
FL,LB,24,21634529,1.11,0.11
FL,OL,18,21634529,0.83,0.08
FL,OTHER,3,21634529,0.14,0.01
FL,QB,13,21634529,0.6,0.06
FL,RB,28,21634529,1.29,0.13
FL,ST,3,21634529,0.14,0.01
FL,TE,7,21634529,0.32,0.03
FL,WR,38,21634529,1.76,0.18
GA,ATH,16,10722325,1.49,0.15
GA,DB,30,10722325,2.8,0.28
GA,DL,37,10722325,3.45,0.35
GA,LB,20,10722325,1.87,0.19
GA,OL,11,10722325,1.03,0.1
GA,OTHER,2,10722325,0.19,0.02
GA,QB,7,10722325,0.65,0.07
GA,RB,13,10722325,1.21,0.12
GA,ST,4,10722325,0.37,0.04
GA,TE,8,10722325,0.75,0.07
GA,WR,20,10722325,1.87,0.19
HI,DL,2,1450589,1.38,0.14
HI,LB,3,1450589,2.07,0.21
HI,OL,1,1450589,0.69,0.07
HI,OTHER,1,1450589,0.69,0.07
HI,QB,1,1450589,0.69,0.07
HI,WR,1,1450589,0.69,0.07
IA,ATH,1,3188836,0.31,0.03
IA,DB,2,3188836,0.63,0.06
IA,DL,1,3188836,0.31,0.03
IA,OL,1,3188836,0.31,0.03
IA,OTHER,1,3188836,0.31,0.03
IA,QB,2,3188836,0.63,0.06
IA,TE,3,3188836,0.94,0.09
IA,WR,1,3188836,0.31,0.03
ID,DL,1,1854109,0.54,0.05
ID,OTHER,1,1854109,0.54,0.05
ID,QB,2,1854109,1.08,0.11
ID,TE,1,1854109,0.54,0.05
IL,ATH,4,12757634,0.31,0.03
IL,DB,4,12757634,0.31,0.03
IL,DL,6,12757634,0.47,0.05
IL,LB,4,12757634,0.31,0.03
IL,OL,6,12757634,0.47,0.05
IL,OTHER,1,12757634,0.08,0.01
IL,QB,2,12757634,0.16,0.02
IL,RB,6,12757634,0.47,0.05
IL,ST,4,12757634,0.31,0.03
IL,TE,3,12757634,0.24,0.02
IL,WR,7,12757634,0.55,0.05
IN,ATH,2,6784403,0.29,0.03
IN,DB,3,6784403,0.44,0.04
IN,DL,5,6784403,0.74,0.07
IN,LB,4,6784403,0.59,0.06
IN,OL,2,6784403,0.29,0.03
IN,OTHER,3,6784403,0.44,0.04
IN,RB,2,6784403,0.29,0.03
IN,ST,1,6784403,0.15,0.01
IN,TE,1,6784403,0.15,0.01
IN,WR,7,6784403,1.03,0.1
KS,ATH,1,2935922,0.34,0.03
KS,DB,2,2935922,0.68,0.07
KS,DL,1,2935922,0.34,0.03
KS,QB,1,2935922,0.34,0.03
KS,RB,2,2935922,0.68,0.07
KY,DB,6,4502935,1.33,0.13
KY,DL,1,4502935,0.22,0.02
KY,LB,1,4502935,0.22,0.02
KY,OL,3,4502935,0.67,0.07
KY,QB,1,4502935,0.22,0.02
KY,RB,3,4502935,0.67,0.07
KY,TE,1,4502935,0.22,0.02
KY,WR,1,4502935,0.22,0.02
LA,ATH,7,4640546,1.51,0.15
LA,DB,16,4640546,3.45,0.34
LA,DL,7,4640546,1.51,0.15
LA,LB,11,4640546,2.37,0.24
LA,OL,5,4640546,1.08,0.11
LA,OTHER,3,4640546,0.65,0.06
LA,RB,12,4640546,2.59,0.26
LA,TE,1,4640546,0.22,0.02
LA,WR,19,4640546,4.09,0.41
MA,ATH,2,6984205,0.29,0.03
MA,DB,1,6984205,0.14,0.01
MA,DL,1,6984205,0.14,0.01
MA,LB,2,6984205,0.29,0.03
MA,OL,2,6984205,0.29,0.03
MA,OTHER,1,6984205,0.14,0.01
MA,QB,2,6984205,0.29,0.03
MA,TE,2,6984205,0.29,0.03
MA,WR,1,6984205,0.14,0.01
